HS,TS,TA,HA,TT,C
7235.833,1120,375,9518,7.10775,41.24250
7234.167,1120,315,9527,7.14948,41.26750
7232.667,1120,305,9534,7.19119,41.25500
7231.500,1120,311,9550,7.23293,41.25500
7230.000,1120,244,9534,7.27464,41.24750
7227.500,1120,187,9531,7.31637,41.26750
7226.333,1120,274,9566,7.35810,41.25250
7225.333,1120,668,9781,7.39981,41.29250
7223.333,1120,801,9793,7.42091,41.27750
7223.667,1100,934,9087,7.44201,41.28500
7222.833,1100,1131,7584,7.46310,41.28500
7222.667,1100,1244,6637,7.47731,41.28000
7222.333,1100,1332,6515,7.49155,41.29750
7222.000,1100,1466,6349,7.50576,41.29750
7222.000,1100,1525,6309,7.51301,41.30500
7221.833,1100,1568,6197,7.52025,41.29750
7221.833,1100,1623,6079,7.52748,41.29250
7221.500,1100,1695,5907,7.53471,41.29000
7221.167,1100,1721,5863,7.54198,41.31000
7221.500,1100,1730,5885,7.54919,41.32250
7222.167,1100,1757,5753,7.55644,41.33750
7221.833,1100,1733,5608,7.56729,41.31750
7221.667,1100,1711,5697,7.57808,41.31500
7222.000,1100,1694,5663,7.58887,41.33500
7221.167,1100,1729,5877,7.59964,41.31250
7220.500,1100,1752,6003,7.61042,41.31500
7220.833,1100,1730,6126,7.61766,41.31750
7221.333,1100,1644,6205,7.62492,41.31500
7220.833,1100,1457,6627,7.63569,41.32250
7221.167,1100,1358,6979,7.64992,41.30250
7221.000,1100,1348,7026,7.66414,41.31250
7220.833,1100,1281,7236,7.67836,41.29000
7221.667,1100,1214,7400,7.69257,41.29500
7221.667,1100,1048,7712,7.71366,41.28000
7222.167,1100,878,7912,7.73473,41.28250
7221.000,1100,774,8160,7.75583,41.25000
7221.667,1100,706,8397,7.77691,41.26250
7221.333,1120,678,8607,7.79801,41.26000
7221.833,1120,643,8753,7.81910,41.24750
7221.500,1120,629,8887,7.84022,41.23750
7221.167,1120,701,9170,7.86130,41.24750
7221.000,1120,784,9398,7.88238,41.23000
7221.167,1120,775,9443,7.90348,41.23000
7220.667,1120,806,9544,7.92458,41.24250
7220.333,1120,868,9660,7.94567,41.23000
7220.667,1120,881,9701,7.96678,41.23000
7220.667,1120,827,9705,7.98788,41.22250
7220.667,1120,836,9733,8.00897,41.22750
7219.833,1120,762,9725,8.03006,41.21250
7220.667,1120,811,9766,8.05115,41.21250
7219.833,1120,823,9786,8.07226,41.22250
7219.333,1120,848,9817,8.11395,41.23250
7219.333,1120,849,9834,8.15564,41.24750
7219.167,1120,840,9839,8.19734,41.22750
7219.000,1120,804,9831,8.23903,41.23000
7219.000,1120,771,9813,8.28075,41.23500
7218.167,1120,633,9768,8.32243,41.24750
7217.333,1120,573,9765,8.36413,41.24000
7217.167,1140,907,9740,8.40584,41.23750
7217.167,1140,1121,8868,8.42693,41.24250
7216.333,1140,1306,7436,8.44802,41.23750
7216.333,1140,1460,6654,8.46911,41.26000
7216.000,1140,1493,6502,8.48333,41.26000
7215.167,1140,1598,6259,8.49756,41.26000
7216.333,1140,1692,5746,8.51176,41.27500
7215.500,1140,1715,5694,8.51900,41.30000
7215.167,1140,1774,5554,8.52624,41.26500
7214.833,1140,1849,5353,8.53346,41.29750
7215.667,1140,1907,5242,8.54069,41.28750
7215.333,1140,1888,5070,8.54795,41.28000
7216.000,1140,1880,5197,8.55517,41.28250
7215.500,1140,1896,5064,8.56595,41.28750
7214.833,1140,1845,5092,8.57672,41.28750
7214.333,1140,1771,5167,8.58750,41.28500
7214.500,1140,1850,5164,8.59828,41.28750
7214.000,1140,1958,4896,8.60911,41.30250
7213.667,1140,1916,5025,8.61630,41.28250
7214.333,1140,1870,5102,8.62353,41.27750
7214.333,1140,1788,5169,8.63075,41.27500
7213.667,1140,1590,5598,8.64497,41.28750
7213.667,1140,1494,5978,8.65918,41.28250
7213.667,1140,1403,6116,8.67338,41.28000
7214.167,1140,1322,6423,8.68759,41.27000
7213.833,1140,1200,6888,8.70181,41.26250
7214.167,1140,1016,7355,8.72288,41.25500
7214.667,1140,866,7660,8.74396,41.24000
7214.500,1140,807,7969,8.76505,41.21750
7215.000,1140,755,8186,8.78613,41.21000
7214.667,1140,705,8352,8.80723,41.21500
7214.333,1140,716,8614,8.82832,41.21250
7214.000,1140,739,8846,8.84940,41.22750
7213.500,1160,752,8970,8.87049,41.23750
7213.167,1160,774,9103,8.89156,41.20250
7213.833,1160,695,9108,8.91265,41.20500
7213.167,1160,630,9110,8.93374,41.21000
7213.000,1160,665,9172,8.95484,41.20750
7212.167,1160,681,9282,8.97591,41.20000
7212.000,1160,686,9358,8.99700,41.20750
7211.500,1160,655,9404,9.01810,41.19250
7210.333,1160,563,9416,9.06030,41.20000
7210.333,1160,571,9453,9.08139,41.19500
7210.167,1160,611,9521,9.10249,41.18750
7209.500,1160,651,9615,9.12359,41.20000
7209.000,1160,653,9656,9.16530,41.21250
7208.333,1160,650,9641,9.18639,41.21750
7206.500,1160,680,9595,9.22810,41.20250
7207.000,1140,676,9414,9.26980,41.21250
7205.500,1140,839,8855,9.31149,41.22000
7205.500,1140,786,8550,9.35317,41.20500
7204.833,1140,1186,6958,9.39486,41.22000
7203.833,1140,1198,6811,9.41596,41.21750
7203.500,1140,1241,6613,9.43706,41.23750
7203.833,1140,1314,6747,9.47874,41.25000
7203.333,1140,1378,6641,9.49983,41.24500
7202.500,1140,1362,6713,9.51403,41.26000
7323.667,1140,1390,6641,9.52825,41.25000
7378.500,1140,1424,6405,9.53903,41.24000
7539.833,1140,1538,6317,9.54981,41.26000
7589.833,1140,1754,5621,9.55706,41.26750
7598.833,1140,1892,5141,9.56429,41.27000
7601.833,1140,1856,5247,9.57153,41.27750
7603.833,1140,1818,5119,9.58230,41.27750
7605.500,1140,1915,4826,9.59652,41.29000
7606.167,1140,1980,4646,9.60731,41.27500
7607.333,1140,1996,4653,9.61809,41.28750
7608.000,1140,1818,4608,9.62532,41.28000
7608.667,1140,1587,5135,9.63611,41.27250
7606.167,1140,1508,5010,9.65032,41.27250
7566.333,1140,1427,4689,9.66456,41.24750
7526.667,1140,1369,4844,9.67876,41.24500
7495.667,1160,1274,5238,9.69297,41.23000
7465.167,1160,1152,5933,9.71405,41.23250
7435.000,1160,986,6056,9.73513,41.22000
7419.167,1160,1084,5875,9.75622,41.23500
7407.167,1160,1099,6046,9.77729,41.22500
7399.333,1160,1124,6012,9.79839,41.20500
7389.333,1160,1140,5882,9.81948,41.20750
7384.667,1160,1097,5939,9.84057,41.19500
7380.000,1160,1089,6049,9.86164,41.19500
7373.833,1160,1079,6142,9.88273,41.20500
7367.833,1160,1082,6179,9.90383,41.20250
7364.500,1160,1043,6227,9.92491,41.18750
7360.667,1200,1061,6165,9.94600,41.19000
7357.000,1200,1104,6209,9.96708,41.19000
7355.000,1200,1090,6368,9.98817,41.19500
